estacion_label,contaminante,unidad,registros,media,mediana,minimo,maximo
Estación 29,CO,mg/m3,34451,0.23871643783924995,0.21,0.07,1.76
Estación 38,CO,mg/m3,33780,0.2177027827116637,0.2,0.1,1.76
Estación 39,CO,mg/m3,34066,0.20086009510949335,0.19,0.1,1.89
Estación 36,CO,mg/m3,34272,0.19448266806722692,0.18,0.05,2.19
Estación 26,CO,mg/m3,33770,0.18996564998519397,0.17,0.02,1.15
Estación 37,CO,mg/m3,34152,0.1844790934645116,0.17,0.1,1.09
Estación 32,CO,mg/m3,33215,0.15861026644588289,0.15,0.03,0.97
Estación 29,NO,µg/m3,8364,10.551648732663798,7.61,0.21,174.72
Estación 39,NO,µg/m3,8070,8.961116480793061,4.73,1.0,186.42
Estación 38,NO,µg/m3,7845,8.544435946462716,4.89,1.0,327.71
Estación 26,NO,µg/m3,8238,7.9168268997329445,4.01,1.0,248.79
Estación 32,NO,µg/m3,8306,7.906206356850469,6.65,0.0,130.88
Estación 37,NO,µg/m3,8574,6.738269185910894,3.69,1.93,207.89
Estación 40,NO,µg/m3,8448,6.07796875,3.75,0.0,164.18
Estación 36,NO,µg/m3,8506,5.561088643310605,3.49,0.1,99.27
Estación 29,NO2,µg/m3,34241,22.923914897345288,18.58,2.28,165.88
Estación 39,NO2,µg/m3,33903,22.472868182756688,18.94,1.17,144.34
Estación 38,NO2,µg/m3,32974,22.287735185297507,18.64,1.0,165.68
Estación 37,NO2,µg/m3,33969,21.4611363301834,17.01,1.0,134.51
Estación 26,NO2,µg/m3,33684,21.178499881249255,16.13,1.7,177.73
Estación 40,NO2,µg/m3,34117,17.438777442330803,13.3,1.67,144.2
Estación 36,NO2,µg/m3,34491,17.073254472181148,13.86,1.0,100.05
Estación 32,NO2,µg/m3,32990,15.328751742952411,11.92,1.69,144.55
Estación 36,O3,µg/m3,34593,53.29193883155552,56.64,1.0,157.07
Estación 39,O3,µg/m3,34419,53.11669020018014,56.35,1.0,158.73
Estación 37,O3,µg/m3,34107,52.746137156595424,54.88,0.79,173.12
Estación 40,O3,µg/m3,34110,51.84128877162123,53.739999999999995,0.1,158.28
Estación 38,O3,µg/m3,34036,50.513248912915735,52.74,1.19,151.64
Estación 29,O3,µg/m3,34468,49.95135662063363,53.18,0.67,161.65
Estación 32,O3,µg/m3,33489,48.9840705903431,51.07,1.08,145.42
Estación 26,O3,µg/m3,34004,46.94518203740736,48.83,0.1,151.04
Estación 36,PM10,µg/m3,31910,21.944070824193044,19.03,0.89,138.94
Estación 32,PM10,µg/m3,32912,19.53342124453087,16.21,0.0,168.3
Estación 29,PM10,µg/m3,33982,18.216508151374256,15.8,1.0,129.22
Estación 39,PM10,µg/m3,28967,17.462671660855456,14.39,1.0,125.85
Estación 40,PM10,µg/m3,34153,16.965527479284397,14.2,0.0,135.22
Estación 37,PM10,µg/m3,24362,14.03925909202857,11.06,1.0,131.62
Estación 26,PM2.5,µg/m3,19615,8.57166913076727,7.45,0.1,93.69
Estación 32,SO2,µg/m3,33866,5.2714244374889265,4.93,0.03,42.48
Estación 39,SO2,µg/m3,34499,4.8069268674454335,4.27,1.0,29.36
Estación 36,SO2,µg/m3,34651,4.499768837840177,4.36,1.56,19.1
Estación 37,SO2,µg/m3,34350,3.906257641921398,3.65,0.24,35.61
Estación 38,SO2,µg/m3,34367,3.7321139465184623,3.35,1.17,41.03
Estación 29,SO2,µg/m3,34730,3.6403363086668588,3.32,1.09,26.9
