contaminante,unidad,estacion_anio,registros,media,mediana,maximo
CO,mg/m3,Invierno,58924,0.23109819428416264,0.21,1.89
CO,mg/m3,Otoño,59169,0.19768442934644834,0.18,1.35
CO,mg/m3,Primavera,59678,0.18141928348805256,0.17,2.19
CO,mg/m3,Verano,59935,0.18234387252857262,0.17,0.92
NO,µg/m3,Invierno,16007,12.38293621540576,7.34,248.79
NO,µg/m3,Otoño,16764,8.929111787162968,5.2,327.71
NO,µg/m3,Primavera,16632,5.520186387686388,4.04,129.27
NO,µg/m3,Verano,16948,4.437058059948076,3.51,122.42
NO2,µg/m3,Invierno,66753,25.49295027938819,21.73,177.73
NO2,µg/m3,Otoño,67519,21.87887690872199,17.69,165.68
NO2,µg/m3,Primavera,67642,17.342068832973595,13.9,158.14
NO2,µg/m3,Verano,68455,15.508670221313272,12.3,165.88
O3,µg/m3,Invierno,66851,30.818455071726675,26.07,103.95
O3,µg/m3,Otoño,68104,42.50203879360978,43.78,139.72
O3,µg/m3,Primavera,69286,62.560194411569434,64.91,134.36
O3,µg/m3,Verano,68985,67.07929332463578,65.29,173.12
PM10,µg/m3,Invierno,45107,17.534811670029043,13.67,168.3
PM10,µg/m3,Otoño,47630,18.954837287423892,15.47,164.35
PM10,µg/m3,Primavera,46364,17.01204706237598,14.66,122.38
PM10,µg/m3,Verano,47185,19.220806188407334,16.77,152.63
PM2.5,µg/m3,Invierno,4712,9.543056027164685,7.7,56.3
PM2.5,µg/m3,Otoño,6267,7.89755385351843,7.19,51.64
PM2.5,µg/m3,Primavera,4100,7.594473170731708,6.86,30.89
PM2.5,µg/m3,Verano,4536,9.377226631393297,8.21,93.69
SO2,µg/m3,Invierno,50981,4.987409819344462,4.61,40.43
SO2,µg/m3,Otoño,51196,4.3140843034612075,3.99,42.48
SO2,µg/m3,Primavera,52314,4.135287494743281,3.85,35.61
SO2,µg/m3,Verano,51972,3.8037343184791808,3.62,26.5
